ID,Severity,Priority,Component,Title,Description,Root Cause,Status,Assignee,Estimated Hours,Files Affected,Created Date,Target Fix Date
BUG-001,CRITICAL,P0,AI Recognition,"Еда не найдена" при успешном распознавании,"Фронтенд показывает ошибку при успешном AI recognition",Неправильный парсинг API response (recognized_items vs food_items),Open,Droid,8,"aiService.ts, useAIRecognition.ts, PhotoUpload.tsx",2025-12-06,2025-12-07
BUG-002,HIGH,P1,AI Recognition,Отсутствует task polling для async режима,Нет реализации polling /api/v1/ai/task/<id>/,Функционал не реализован,Open,Droid,6,"useTaskPolling.ts (new), PhotoUpload.tsx",2025-12-06,2025-12-07
BUG-003,HIGH,P1,Navigation,selectedDate не передаётся между страницами,При переходе со страницы на страницу теряется выбранная дата,Неправильная передача параметров в navigation,Open,Droid,3,"navigation.ts, Dashboard.tsx",2025-12-06,2025-12-08
BUG-004,MEDIUM,P2,Forms,Нет валидации граммов продуктов,Можно ввести отрицательные или нереальные значения (9999999),Отсутствует валидация input,Open,Droid,2,FoodItemForm.tsx,2025-12-06,2025-12-09
BUG-005,MEDIUM,P2,UI,Loading state не показывается во время AI recognition,Пользователь не видит что происходит после загрузки фото,isLoading state не используется в UI,Open,Droid,2,PhotoUpload.tsx,2025-12-06,2025-12-09
BUG-006,MEDIUM,P2,Error Handling,Ошибки показываются на английском вместо русского,Backend возвращает английские сообщения об ошибках,Отсутствует локализация ошибок на фронтенде,Open,Droid,3,"ErrorMessage.tsx, i18n config",2025-12-06,2025-12-10
BUG-007,LOW,P3,UI,Длинные названия продуктов ломают layout,Названия не truncate и выходят за границы карточки,Отсутствует CSS text-overflow: ellipsis,Open,Droid,1,FoodItemCard.css,2025-12-06,2025-12-11
BUG-008,LOW,P3,Performance,Дублирование API запросов при навигации,Одинаковый запрос выполняется 2-3 раза,Нет кэширования в React Query/SWR,Open,Droid,4,"useQuery hooks, API client",2025-12-06,2025-12-12
BUG-009,MEDIUM,P2,TypeScript,Использование 'any' вместо типов в AI responses,45 instances of 'any' снижают type safety,Лень разработчиков / незнание типов API,Open,Droid,6,"types/ai.ts, services/*.ts",2025-12-06,2025-12-10
BUG-010,HIGH,P1,Security,Токены логируются в console.log,JWT tokens видны в browser console,Debug console.log забыли удалить,Open,Droid,1,"authService.ts:45, apiClient.ts:78",2025-12-06,2025-12-08
